Cuvant,Locatii
island,"(Linia 598, Pozitia 2), (Linia 777, Pozitia 5)"
isolated,"(Linia 53, Pozitia 3)"
it,"(Linia 12, Pozitia 13), (Linia 34, Pozitia 7), (Linia 72, Pozitia 16), (Linia 97, Pozitia 10), (Linia 99, Pozitia 6), (Linia 110, Pozitia 4), (Linia 123, Pozitia 11), (Linia 131, Pozitia 14), (Linia 132, Pozitia 18), (Linia 135, Pozitia 2), (Linia 149, Pozitia 5), (Linia 150, Pozitia 7), (Linia 150, Pozitia 13), (Linia 161, Pozitia 1), (Linia 168, Pozitia 8), (Linia 170, Pozitia 15), (Linia 172, Pozitia 3), (Linia 178, Pozitia 13), (Linia 181, Pozitia 17), (Linia 181, Pozitia 19), (Linia 182, Pozitia 5), (Linia 198, Pozitia 4), (Linia 200, Pozitia 5), (Linia 203, Pozitia 6), (Linia 212, Pozitia 5), (Linia 214, Pozitia 7), (Linia 214, Pozitia 11), (Linia 218, Pozitia 11), (Linia 220, Pozitia 5), (Linia 220, Pozitia 17), (Linia 220, Pozitia 20), (Linia 221, Pozitia 3), (Linia 221, Pozitia 8), (Linia 221, Pozitia 19), (Linia 222, Pozitia 3), (Linia 224, Pozitia 1), (Linia 224, Pozitia 10), (Linia 226, Pozitia 4), (Linia 231, Pozitia 18), (Linia 233, Pozitia 13), (Linia 234, Pozitia 2), (Linia 240, Pozitia 14), (Linia 241, Pozitia 13), (Linia 255, Pozitia 3), (Linia 257, Pozitia 13), (Linia 277, Pozitia 12), (Linia 284, Pozitia 19), (Linia 300, Pozitia 1), (Linia 305, Pozitia 3), (Linia 314, Pozitia 11), (Linia 321, Pozitia 9), (Linia 321, Pozitia 13), (Linia 334, Pozitia 3), (Linia 356, Pozitia 5), (Linia 382, Pozitia 8), (Linia 391, Pozitia 4), (Linia 395, Pozitia 5), (Linia 401, Pozitia 1), (Linia 405, Pozitia 18), (Linia 424, Pozitia 2), (Linia 436, Pozitia 5), (Linia 452, Pozitia 12), (Linia 466, Pozitia 2), (Linia 467, Pozitia 7), (Linia 467, Pozitia 11), (Linia 469, Pozitia 3), (Linia 482, Pozitia 8), (Linia 487, Pozitia 1), (Linia 490, Pozitia 2), (Linia 491, Pozitia 14), (Linia 492, Pozitia 2), (Linia 510, Pozitia 17), (Linia 521, Pozitia 7), (Linia 523, Pozitia 4), (Linia 551, Pozitia 9), (Linia 558, Pozitia 8), (Linia 561, Pozitia 5), (Linia 564, Pozitia 9), (Linia 579, Pozitia 7), (Linia 588, Pozitia 4), (Linia 595, Pozitia 10), (Linia 597, Pozitia 14), (Linia 598, Pozitia 8), (Linia 598, Pozitia 19), (Linia 598, Pozitia 20), (Linia 600, Pozitia 14), (Linia 604, Pozitia 9), (Linia 604, Pozitia 15), (Linia 605, Pozitia 7), (Linia 607, Pozitia 4), (Linia 612, Pozitia 11), (Linia 616, Pozitia 4), (Linia 626, Pozitia 7), (Linia 628, Pozitia 1), (Linia 628, Pozitia 19), (Linia 629, Pozitia 19), (Linia 636, Pozitia 4), (Linia 637, Pozitia 7), (Linia 664, Pozitia 10), (Linia 673, Pozitia 1), (Linia 698, Pozitia 5), (Linia 717, Pozitia 10), (Linia 742, Pozitia 9), (Linia 761, Pozitia 6), (Linia 772, Pozitia 8), (Linia 774, Pozitia 4), (Linia 780, Pozitia 4), (Linia 840, Pozitia 16), (Linia 843, Pozitia 2), (Linia 902, Pozitia 2), (Linia 920, Pozitia 9), (Linia 945, Pozitia 13), (Linia 946, Pozitia 6), (Linia 946, Pozitia 13), (Linia 947, Pozitia 4), (Linia 947, Pozitia 14), (Linia 948, Pozitia 13), (Linia 949, Pozitia 12), (Linia 958, Pozitia 14), (Linia 969, Pozitia 7), (Linia 977, Pozitia 14), (Linia 980, Pozitia 5), (Linia 1011, Pozitia 7), (Linia 1025, Pozitia 2), (Linia 1029, Pozitia 12), (Linia 1030, Pozitia 7), (Linia 1030, Pozitia 12), (Linia 1032, Pozitia 9), (Linia 1041, Pozitia 12), (Linia 1042, Pozitia 16), (Linia 1049, Pozitia 5), (Linia 1059, Pozitia 4), (Linia 1071, Pozitia 5), (Linia 1091, Pozitia 14), (Linia 1100, Pozitia 2), (Linia 1106, Pozitia 14), (Linia 1107, Pozitia 5), (Linia 1139, Pozitia 13), (Linia 1150, Pozitia 3), (Linia 1155, Pozitia 9), (Linia 1163, Pozitia 2), (Linia 1164, Pozitia 4), (Linia 1172, Pozitia 7), (Linia 1175, Pozitia 6), (Linia 1179, Pozitia 8), (Linia 1187, Pozitia 5), (Linia 1193, Pozitia 14), (Linia 1202, Pozitia 6), (Linia 1214, Pozitia 17), (Linia 1219, Pozitia 2), (Linia 1234, Pozitia 3), (Linia 1263, Pozitia 12), (Linia 1263, Pozitia 17), (Linia 1265, Pozitia 11)"
land,"(Linia 52, Pozitia 16)"
kindness,"(Linia 344, Pozitia 15)"
journey,"(Linia 195, Pozitia 13)"
its,"(Linia 90, Pozitia 4), (Linia 90, Pozitia 8), (Linia 101, Pozitia 5), (Linia 141, Pozitia 6), (Linia 145, Pozitia 10), (Linia 160, Pozitia 19), (Linia 279, Pozitia 4), (Linia 300, Pozitia 8), (Linia 300, Pozitia 12), (Linia 409, Pozitia 6), (Linia 552, Pozitia 4), (Linia 726, Pozitia 10), (Linia 726, Pozitia 14), (Linia 735, Pozitia 13), (Linia 736, Pozitia 3), (Linia 1001, Pozitia 4), (Linia 1059, Pozitia 7), (Linia 1120, Pozitia 10), (Linia 1148, Pozitia 5), (Linia 1168, Pozitia 16), (Linia 1202, Pozitia 3), (Linia 1205, Pozitia 6), (Linia 1241, Pozitia 5), (Linia 1261, Pozitia 9)"
job,"(Linia 230, Pozitia 12), (Linia 691, Pozitia 13)"
join,"(Linia 321, Pozitia 12)"
joining,"(Linia 1210, Pozitia 18)"
jungle,"(Linia 22, Pozitia 11)"
journey,"(Linia 503, Pozitia 14), (Linia 531, Pozitia 12), (Linia 620, Pozitia 1), (Linia 671, Pozitia 11)"
judge,"(Linia 98, Pozitia 13), (Linia 480, Pozitia 7), (Linia 485, Pozitia 3), (Linia 486, Pozitia 4), (Linia 486, Pozitia 8), (Linia 486, Pozitia 14), (Linia 488, Pozitia 7), (Linia 490, Pozitia 7)"
judged,"(Linia 374, Pozitia 9)"
jumped,"(Linia 58, Pozitia 2), (Linia 1130, Pozitia 14)"
just,"(Linia 336, Pozitia 4), (Linia 338, Pozitia 3), (Linia 622, Pozitia 16), (Linia 632, Pozitia 6), (Linia 637, Pozitia 5), (Linia 793, Pozitia 7), (Linia 1123, Pozitia 16), (Linia 1134, Pozitia 14), (Linia 1143, Pozitia 3), (Linia 1163, Pozitia 11)"
keep,"(Linia 1078, Pozitia 3)"
killed,"(Linia 948, Pozitia 4)"
kind,"(Linia 132, Pozitia 8), (Linia 329, Pozitia 10), (Linia 754, Pozitia 9), (Linia 852, Pozitia 19)"
known,"(Linia 221, Pozitia 21), (Linia 237, Pozitia 13)"
kings,"(Linia 419, Pozitia 7)"
king,"(Linia 414, Pozitia 7), (Linia 414, Pozitia 9), (Linia 416, Pozitia 8), (Linia 420, Pozitia 9), (Linia 420, Pozitia 16), (Linia 423, Pozitia 14), (Linia 427, Pozitia 4), (Linia 430, Pozitia 6), (Linia 438, Pozitia 9), (Linia 440, Pozitia 15), (Linia 444, Pozitia 5), (Linia 446, Pozitia 2), (Linia 448, Pozitia 6), (Linia 451, Pozitia 5), (Linia 455, Pozitia 14), (Linia 461, Pozitia 16), (Linia 470, Pozitia 6), (Linia 475, Pozitia 12), (Linia 476, Pozitia 6), (Linia 481, Pozitia 7), (Linia 485, Pozitia 8), (Linia 489, Pozitia 6), (Linia 494, Pozitia 4), (Linia 499, Pozitia 2), (Linia 501, Pozitia 11), (Linia 516, Pozitia 10), (Linia 584, Pozitia 6), (Linia 626, Pozitia 13), (Linia 672, Pozitia 7), (Linia 802, Pozitia 11)"
kingdom,"(Linia 481, Pozitia 15)"
know,"(Linia 42, Pozitia 10)"
kings,"(Linia 754, Pozitia 16), (Linia 755, Pozitia 6)"
knee,"(Linia 830, Pozitia 8), (Linia 858, Pozitia 15)"
knew,"(Linia 37, Pozitia 9), (Linia 147, Pozitia 8), (Linia 196, Pozitia 13), (Linia 234, Pozitia 8), (Linia 1019, Pozitia 13), (Linia 1089, Pozitia 7)"
know,"(Linia 45, Pozitia 13)"
know,"(Linia 76, Pozitia 1), (Linia 165, Pozitia 8), (Linia 192, Pozitia 6), (Linia 261, Pozitia 2), (Linia 273, Pozitia 4), (Linia 297, Pozitia 2), (Linia 308, Pozitia 4), (Linia 320, Pozitia 16), (Linia 321, Pozitia 5), (Linia 377, Pozitia 3), (Linia 384, Pozitia 1), (Linia 399, Pozitia 11), (Linia 405, Pozitia 12), (Linia 419, Pozitia 4), (Linia 481, Pozitia 4), (Linia 555, Pozitia 15), (Linia 594, Pozitia 5), (Linia 615, Pozitia 14), (Linia 660, Pozitia 2), (Linia 660, Pozitia 5), (Linia 694, Pozitia 4), (Linia 696, Pozitia 4), (Linia 698, Pozitia 4), (Linia 712, Pozitia 2), (Linia 727, Pozitia 13), (Linia 728, Pozitia 3), (Linia 774, Pozitia 3), (Linia 824, Pozitia 1), (Linia 907, Pozitia 5), (Linia 908, Pozitia 3), (Linia 908, Pozitia 18), (Linia 920, Pozitia 1), (Linia 979, Pozitia 3), (Linia 1046, Pozitia 15), (Linia 1081, Pozitia 3), (Linia 1090, Pozitia 11), (Linia 1092, Pozitia 7), (Linia 1094, Pozitia 2), (Linia 1142, Pozitia 5), (Linia 1196, Pozitia 18), (Linia 1199, Pozitia 5), (Linia 1222, Pozitia 5), (Linia 1231, Pozitia 2), (Linia 1244, Pozitia 15), (Linia 1257, Pozitia 9), (Linia 1257, Pozitia 17)"
knowing,"(Linia 240, Pozitia 13)"
labors,"(Linia 389, Pozitia 13)"
known,"(Linia 360, Pozitia 18), (Linia 829, Pozitia 14), (Linia 1191, Pozitia 1)"
knows,"(Linia 255, Pozitia 14), (Linia 562, Pozitia 1), (Linia 690, Pozitia 6)"
lamplighter,"(Linia 624, Pozitia 6)"
lack,"(Linia 94, Pozitia 3), (Linia 563, Pozitia 11), (Linia 700, Pozitia 14), (Linia 824, Pozitia 12), (Linia 840, Pozitia 1)"
lamp,"(Linia 623, Pozitia 9), (Linia 624, Pozitia 3), (Linia 632, Pozitia 11), (Linia 641, Pozitia 7), (Linia 670, Pozitia 7), (Linia 762, Pozitia 14), (Linia 769, Pozitia 2), (Linia 1042, Pozitia 7)"
lamppost,"(Linia 623, Pozitia 5), (Linia 627, Pozitia 15), (Linia 628, Pozitia 18), (Linia 635, Pozitia 6), (Linia 656, Pozitia 5)"
lamps,"(Linia 760, Pozitia 12), (Linia 764, Pozitia 4), (Linia 765, Pozitia 11), (Linia 1043, Pozitia 7)"
later,"(Linia 60, Pozitia 3), (Linia 227, Pozitia 9), (Linia 260, Pozitia 4)"
large,"(Linia 206, Pozitia 17), (Linia 470, Pozitia 12), (Linia 717, Pozitia 6), (Linia 717, Pozitia 15), (Linia 757, Pozitia 6)"
land,"(Linia 321, Pozitia 20), (Linia 386, Pozitia 4), (Linia 775, Pozitia 3), (Linia 782, Pozitia 6)"
landscape,"(Linia 1262, Pozitia 10), (Linia 1263, Pozitia 1), (Linia 1265, Pozitia 5)"
lanterns,"(Linia 763, Pozitia 9)"
lasted,"(Linia 124, Pozitia 8)"
larger,"(Linia 145, Pozitia 15), (Linia 177, Pozitia 16), (Linia 681, Pozitia 9)"
last,"(Linia 190, Pozitia 3), (Linia 388, Pozitia 11), (Linia 390, Pozitia 13), (Linia 396, Pozitia 8), (Linia 420, Pozitia 18), (Linia 652, Pozitia 11), (Linia 665, Pozitia 20), (Linia 801, Pozitia 9), (Linia 996, Pozitia 5), (Linia 1163, Pozitia 18)"
lasted,"(Linia 335, Pozitia 11)"
late,"(Linia 224, Pozitia 3)"
learned,"(Linia 36, Pozitia 9)"
laughed,"(Linia 170, Pozitia 3), (Linia 253, Pozitia 10), (Linia 1055, Pozitia 2)"
latter,"(Linia 549, Pozitia 5)"
laugh,"(Linia 209, Pozitia 12), (Linia 571, Pozitia 11), (Linia 1160, Pozitia 7), (Linia 1161, Pozitia 9), (Linia 1186, Pozitia 20), (Linia 1188, Pozitia 3), (Linia 1191, Pozitia 12), (Linia 1193, Pozitia 18), (Linia 1196, Pozitia 21)"
laughed,"(Linia 1157, Pozitia 8)"
laughter,"(Linia 117, Pozitia 11)"
laughed,"(Linia 1177, Pozitia 2), (Linia 1252, Pozitia 2)"
laughing,"(Linia 1083, Pozitia 1), (Linia 1187, Pozitia 16), (Linia 1193, Pozitia 1)"
laughs,"(Linia 1088, Pozitia 3), (Linia 1189, Pozitia 3), (Linia 1195, Pozitia 3), (Linia 1198, Pozitia 3), (Linia 1267, Pozitia 14)"
leaned,"(Linia 103, Pozitia 2)"
laughter,"(Linia 137, Pozitia 6), (Linia 1178, Pozitia 11)"
lazy,"(Linia 234, Pozitia 14), (Linia 662, Pozitia 8)"
learn,"(Linia 127, Pozitia 4), (Linia 413, Pozitia 11)"
learned,"(Linia 63, Pozitia 1)"
life,"(Linia 39, Pozitia 9), (Linia 51, Pozitia 3), (Linia 175, Pozitia 7), (Linia 178, Pozitia 12), (Linia 246, Pozitia 13), (Linia 265, Pozitia 13)"
leave,"(Linia 30, Pozitia 6), (Linia 173, Pozitia 1), (Linia 409, Pozitia 11), (Linia 497, Pozitia 8), (Linia 702, Pozitia 11)"
learned,"(Linia 145, Pozitia 3), (Linia 195, Pozitia 4), (Linia 247, Pozitia 12), (Linia 324, Pozitia 3)"
least,"(Linia 627, Pozitia 6)"
leather,"(Linia 1248, Pozitia 5)"
legend,"(Linia 1029, Pozitia 10)"
leave,"(Linia 1200, Pozitia 5), (Linia 1203, Pozitia 5), (Linia 1207, Pozitia 5), (Linia 1268, Pozitia 17)"
led,"(Linia 769, Pozitia 7)"
left,"(Linia 544, Pozitia 5), (Linia 618, Pozitia 14), (Linia 747, Pozitia 8), (Linia 966, Pozitia 12)"
lenient,"(Linia 174, Pozitia 4)"
legs,"(Linia 1116, Pozitia 15)"
length,"(Linia 844, Pozitia 6)"
licensed,"(Linia 4, Pozitia 9)"
less,"(Linia 61, Pozitia 8), (Linia 626, Pozitia 9)"
lesson,"(Linia 241, Pozitia 8)"
let,"(Linia 220, Pozitia 16), (Linia 316, Pozitia 16), (Linia 856, Pozitia 9), (Linia 1112, Pozitia 17)"
lie,"(Linia 362, Pozitia 5), (Linia 456, Pozitia 18)"
lies,"(Linia 255, Pozitia 15), (Linia 707, Pozitia 5)"
like,"(Linia 23, Pozitia 11), (Linia 29, Pozitia 8)"
lighter,"(Linia 623, Pozitia 10), (Linia 631, Pozitia 9), (Linia 633, Pozitia 7), (Linia 638, Pozitia 7), (Linia 640, Pozitia 8), (Linia 647, Pozitia 8), (Linia 653, Pozitia 8), (Linia 657, Pozitia 11), (Linia 661, Pozitia 6), (Linia 667, Pozitia 9), (Linia 669, Pozitia 5), (Linia 768, Pozitia 3)"
life,"(Linia 491, Pozitia 4), (Linia 557, Pozitia 14), (Linia 667, Pozitia 14), (Linia 742, Pozitia 4), (Linia 896, Pozitia 2), (Linia 897, Pozitia 18)"
lifted,"(Linia 1064, Pozitia 2)"
light,"(Linia 773, Pozitia 6), (Linia 967, Pozitia 4), (Linia 1013, Pozitia 16), (Linia 1037, Pozitia 6), (Linia 1067, Pozitia 2)"
lighter,"(Linia 773, Pozitia 7)"
lightly,"(Linia 180, Pozitia 10)"
lighterers,"(Linia 762, Pozitia 15)"
lighters,"(Linia 760, Pozitia 9), (Linia 765, Pozitia 8)"
lightning,"(Linia 58, Pozitia 13)"
lights,"(Linia 627, Pozitia 13), (Linia 1182, Pozitia 7)"
links,"(Linia 878, Pozitia 10), (Linia 879, Pozitia 3)"
like,"(Linia 92, Pozitia 5), (Linia 147, Pozitia 14), (Linia 156, Pozitia 13), (Linia 161, Pozitia 10), (Linia 173, Pozitia 8), (Linia 176, Pozitia 5), (Linia 180, Pozitia 5), (Linia 183, Pozitia 2), (Linia 189, Pozitia 12), (Linia 191, Pozitia 15), (Linia 192, Pozitia 20), (Linia 236, Pozitia 16), (Linia 240, Pozitia 10), (Linia 249, Pozitia 2), (Linia 261, Pozitia 9), (Linia 293, Pozitia 3), (Linia 299, Pozitia 7), (Linia 309, Pozitia 9), (Linia 334, Pozitia 5), (Linia 385, Pozitia 10), (Linia 409, Pozitia 4), (Linia 456, Pozitia 3), (Linia 457, Pozitia 13), (Linia 493, Pozitia 8), (Linia 590, Pozitia 13), (Linia 667, Pozitia 12), (Linia 762, Pozitia 2), (Linia 806, Pozitia 11), (Linia 831, Pozitia 5), (Linia 848, Pozitia 10), (Linia 880, Pozitia 14), (Linia 881, Pozitia 22), (Linia 899, Pozitia 13), (Linia 912, Pozitia 18), (Linia 940, Pozitia 6), (Linia 941, Pozitia 7), (Linia 941, Pozitia 16), (Linia 967, Pozitia 6), (Linia 1042, Pozitia 2), (Linia 1084, Pozitia 7), (Linia 1087, Pozitia 11), (Linia 1100, Pozitia 18), (Linia 1133, Pozitia 9), (Linia 1139, Pozitia 5), (Linia 1149, Pozitia 14), (Linia 1160, Pozitia 13), (Linia 1168, Pozitia 3), (Linia 1171, Pozitia 3), (Linia 1171, Pozitia 13), (Linia 1175, Pozitia 2), (Linia 1178, Pozitia 7), (Linia 1179, Pozitia 11), (Linia 1183, Pozitia 17), (Linia 1201, Pozitia 15), (Linia 1201, Pozitia 18), (Linia 1219, Pozitia 5), (Linia 1246, Pozitia 3), (Linia 1246, Pozitia 11)"
liked,"(Linia 175, Pozitia 17), (Linia 176, Pozitia 11)"
listened,"(Linia 369, Pozitia 5)"
lips,"(Linia 1040, Pozitia 4), (Linia 1064, Pozitia 7)"
listen,"(Linia 369, Pozitia 17)"
little,"(Linia 616729008, Pozitia 491), (Linia 616407824, Pozitia 491), (Linia 54, Pozitia 9), (Linia 59, Pozitia 7), (Linia 65, Pozitia 9), (Linia 75, Pozitia 8), (Linia 75, Pozitia 12), (Linia 79, Pozitia 15), (Linia 105, Pozitia 9), (Linia 107, Pozitia 14), (Linia 108, Pozitia 15), (Linia 109, Pozitia 2), (Linia 117, Pozitia 3), (Linia 128, Pozitia 7), (Linia 134, Pozitia 7), (Linia 140, Pozitia 3), (Linia 142, Pozitia 4), (Linia 152, Pozitia 13), (Linia 169, Pozitia 11), (Linia 177, Pozitia 8), (Linia 188, Pozitia 10), (Linia 198, Pozitia 13), (Linia 203, Pozitia 18), (Linia 206, Pozitia 5), (Linia 209, Pozitia 10), (Linia 213, Pozitia 15), (Linia 216, Pozitia 8), (Linia 219, Pozitia 16), (Linia 220, Pozitia 2), (Linia 222, Pozitia 14), (Linia 227, Pozitia 7), (Linia 236, Pozitia 7), (Linia 237, Pozitia 12), (Linia 246, Pozitia 7), (Linia 246, Pozitia 9), (Linia 246, Pozitia 11), (Linia 257, Pozitia 11), (Linia 260, Pozitia 3), (Linia 263, Pozitia 3), (Linia 265, Pozitia 16), (Linia 277, Pozitia 2), (Linia 285, Pozitia 5), (Linia 294, Pozitia 5), (Linia 303, Pozitia 2), (Linia 309, Pozitia 3), (Linia 318, Pozitia 7), (Linia 325, Pozitia 4), (Linia 328, Pozitia 5), (Linia 330, Pozitia 9), (Linia 339, Pozitia 2), (Linia 343, Pozitia 2), (Linia 346, Pozitia 3), (Linia 349, Pozitia 11), (Linia 351, Pozitia 10), (Linia 356, Pozitia 15), (Linia 362, Pozitia 15), (Linia 367, Pozitia 3), (Linia 388, Pozitia 2), (Linia 388, Pozitia 8), (Linia 416, Pozitia 13), (Linia 417, Pozitia 3), (Linia 421, Pozitia 2), (Linia 425, Pozitia 8), (Linia 429, Pozitia 11), (Linia 431, Pozitia 4), (Linia 437, Pozitia 8), (Linia 440, Pozitia 3), (Linia 447, Pozitia 6), (Linia 452, Pozitia 6), (Linia 454, Pozitia 15), (Linia 455, Pozitia 4), (Linia 460, Pozitia 7), (Linia 465, Pozitia 6), (Linia 469, Pozitia 7), (Linia 473, Pozitia 2), (Linia 474, Pozitia 1), (Linia 483, Pozitia 11), (Linia 488, Pozitia 4), (Linia 493, Pozitia 4), (Linia 495, Pozitia 3), (Linia 499, Pozitia 7), (Linia 503, Pozitia 7), (Linia 507, Pozitia 4), (Linia 509, Pozitia 5), (Linia 512, Pozitia 7), (Linia 514, Pozitia 2), (Linia 516, Pozitia 13), (Linia 519, Pozitia 7), (Linia 522, Pozitia 11), (Linia 528, Pozitia 6), (Linia 528, Pozitia 12), (Linia 530, Pozitia 3), (Linia 534, Pozitia 1), (Linia 538, Pozitia 7), (Linia 540, Pozitia 7), (Linia 542, Pozitia 6), (Linia 544, Pozitia 3), (Linia 548, Pozitia 9), (Linia 557, Pozitia 9), (Linia 567, Pozitia 4), (Linia 569, Pozitia 4), (Linia 590, Pozitia 5), (Linia 590, Pozitia 12), (Linia 600, Pozitia 6), (Linia 603, Pozitia 2), (Linia 608, Pozitia 7), (Linia 612, Pozitia 5), (Linia 613, Pozitia 2), (Linia 618, Pozitia 12), (Linia 623, Pozitia 12), (Linia 639, Pozitia 7), (Linia 649, Pozitia 6), (Linia 657, Pozitia 2), (Linia 663, Pozitia 2), (Linia 668, Pozitia 6), (Linia 671, Pozitia 5), (Linia 678, Pozitia 3), (Linia 683, Pozitia 12), (Linia 684, Pozitia 2), (Linia 684, Pozitia 12), (Linia 687, Pozitia 9), (Linia 691, Pozitia 7), (Linia 695, Pozitia 3), (Linia 709, Pozitia 7), (Linia 712, Pozitia 6), (Linia 726, Pozitia 8), (Linia 737, Pozitia 10), (Linia 741, Pozitia 8), (Linia 746, Pozitia 7), (Linia 751, Pozitia 3), (Linia 761, Pozitia 4), (Linia 772, Pozitia 14), (Linia 774, Pozitia 8), (Linia 775, Pozitia 9), (Linia 777, Pozitia 4), (Linia 782, Pozitia 2), (Linia 785, Pozitia 5), (Linia 787, Pozitia 10), (Linia 791, Pozitia 2), (Linia 795, Pozitia 9), (Linia 798, Pozitia 9), (Linia 798, Pozitia 13), (Linia 800, Pozitia 2), (Linia 803, Pozitia 2), (Linia 806, Pozitia 9), (Linia 809, Pozitia 2), (Linia 812, Pozitia 10), (Linia 817, Pozitia 2), (Linia 819, Pozitia 5), (Linia 821, Pozitia 8), (Linia 826, Pozitia 4), (Linia 829, Pozitia 2), (Linia 835, Pozitia 8), (Linia 843, Pozitia 6), (Linia 848, Pozitia 2), (Linia 851, Pozitia 4), (Linia 864, Pozitia 5), (Linia 866, Pozitia 8), (Linia 868, Pozitia 7), (Linia 870, Pozitia 5), (Linia 874, Pozitia 8), (Linia 877, Pozitia 4), (Linia 880, Pozitia 10), (Linia 880, Pozitia 18), (Linia 884, Pozitia 7), (Linia 886, Pozitia 11), (Linia 897, Pozitia 10), (Linia 904, Pozitia 9), (Linia 906, Pozitia 5), (Linia 911, Pozitia 9), (Linia 912, Pozitia 14), (Linia 914, Pozitia 14), (Linia 915, Pozitia 5), (Linia 921, Pozitia 7), (Linia 927, Pozitia 3), (Linia 929, Pozitia 7), (Linia 932, Pozitia 8), (Linia 939, Pozitia 2)"
listened,"(Linia 949, Pozitia 2), (Linia 995, Pozitia 16)"
listening,"(Linia 1246, Pozitia 6)"
lit,"(Linia 763, Pozitia 7)"
little,"(Linia 954, Pozitia 11)"
little,"(Linia 957, Pozitia 11), (Linia 960, Pozitia 9), (Linia 962, Pozitia 5), (Linia 964, Pozitia 10), (Linia 968, Pozitia 9), (Linia 971, Pozitia 7), (Linia 976, Pozitia 9), (Linia 979, Pozitia 11), (Linia 983, Pozitia 5), (Linia 987, Pozitia 8), (Linia 992, Pozitia 4), (Linia 997, Pozitia 6), (Linia 1001, Pozitia 2), (Linia 1007, Pozitia 16), (Linia 1014, Pozitia 9), (Linia 1014, Pozitia 19), (Linia 1027, Pozitia 7), (Linia 1029, Pozitia 1), (Linia 1032, Pozitia 6), (Linia 1035, Pozitia 3), (Linia 1041, Pozitia 3), (Linia 1046, Pozitia 4), (Linia 1053, Pozitia 7), (Linia 1057, Pozitia 5), (Linia 1062, Pozitia 9), (Linia 1066, Pozitia 20), (Linia 1069, Pozitia 8), (Linia 1072, Pozitia 18), (Linia 1074, Pozitia 3), (Linia 1078, Pozitia 8), (Linia 1082, Pozitia 11), (Linia 1089, Pozitia 4), (Linia 1103, Pozitia 2), (Linia 1106, Pozitia 2), (Linia 1112, Pozitia 14), (Linia 1116, Pozitia 8), (Linia 1121, Pozitia 17), (Linia 1126, Pozitia 2), (Linia 1131, Pozitia 3), (Linia 1135, Pozitia 6), (Linia 1149, Pozitia 16), (Linia 1178, Pozitia 4), (Linia 1196, Pozitia 15), (Linia 1201, Pozitia 14), (Linia 1221, Pozitia 5), (Linia 1235, Pozitia 5), (Linia 1244, Pozitia 7), (Linia 1247, Pozitia 12), (Linia 1250, Pozitia 9), (Linia 1256, Pozitia 11), (Linia 1264, Pozitia 4), (Linia 1267, Pozitia 1)"
live,"(Linia 488, Pozitia 15), (Linia 1186, Pozitia 12)"
lived,"(Linia 39, Pozitia 20), (Linia 48, Pozitia 3), (Linia 177, Pozitia 11), (Linia 560, Pozitia 8), (Linia 1029, Pozitia 4)"
much,"(Linia 53, Pozitia 1)"
majestically,"(Linia 438, Pozitia 13)"
look,"(Linia 187, Pozitia 14)"
locked,"(Linia 543, Pozitia 10)"
lives,"(Linia 769, Pozitia 8)"
lock,"(Linia 608, Pozitia 17)"
long,"(Linia 107, Pozitia 5), (Linia 124, Pozitia 11), (Linia 240, Pozitia 8), (Linia 247, Pozitia 4), (Linia 266, Pozitia 16), (Linia 425, Pozitia 15)"
locks,"(Linia 1038, Pozitia 1)"
locomotive,"(Linia 969, Pozitia 5)"
lodge,"(Linia 776, Pozitia 1)"
long,"(Linia 666, Pozitia 1)"
long,"(Linia 776, Pozitia 8), (Linia 800, Pozitia 9), (Linia 843, Pozitia 11), (Linia 904, Pozitia 13), (Linia 1056, Pozitia 7), (Linia 1087, Pozitia 18), (Linia 1127, Pozitia 16), (Linia 1155, Pozitia 4)"
longer,"(Linia 908, Pozitia 13), (Linia 910, Pozitia 4), (Linia 986, Pozitia 4), (Linia 1001, Pozitia 6)"
longlived,"(Linia 93, Pozitia 9)"
look,"(Linia 370, Pozitia 5), (Linia 1010, Pozitia 5)"
loved,"(Linia 298, Pozitia 8)"
looking,"(Linia 658, Pozitia 11), (Linia 873, Pozitia 11), (Linia 874, Pozitia 3), (Linia 876, Pozitia 10), (Linia 877, Pozitia 8), (Linia 968, Pozitia 14), (Linia 979, Pozitia 7)"
look,"(Linia 899, Pozitia 17), (Linia 913, Pozitia 6), (Linia 1011, Pozitia 11), (Linia 1084, Pozitia 4), (Linia 1087, Pozitia 8), (Linia 1152, Pozitia 5), (Linia 1168, Pozitia 21), (Linia 1176, Pozitia 1), (Linia 1186, Pozitia 3), (Linia 1201, Pozitia 3), (Linia 1201, Pozitia 12), (Linia 1214, Pozitia 10), (Linia 1222, Pozitia 9)"
looked,"(Linia 59, Pozitia 10), (Linia 64, Pozitia 2), (Linia 83, Pozitia 2), (Linia 86, Pozitia 2), (Linia 122, Pozitia 12), (Linia 253, Pozitia 2), (Linia 289, Pozitia 2), (Linia 298, Pozitia 2), (Linia 657, Pozitia 4), (Linia 800, Pozitia 4), (Linia 848, Pozitia 4), (Linia 848, Pozitia 9), (Linia 904, Pozitia 6), (Linia 1009, Pozitia 3), (Linia 1023, Pozitia 7), (Linia 1037, Pozitia 11), (Linia 1138, Pozitia 8)"
lost,"(Linia 67, Pozitia 7)"
looking,"(Linia 1047, Pozitia 1), (Linia 1063, Pozitia 8), (Linia 1072, Pozitia 7)"
looks,"(Linia 313, Pozitia 9)"
lose,"(Linia 979, Pozitia 14)"
